LINEA,ESTACION,DESDE,TOTAL,X,Y
LINEA_A,ACOYTE,2017-05-23 05:00:00,9.39430894309,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 05:15:00,14.7131147541,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 05:30:00,17.8196721311,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 05:45:00,20.1836734694,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 06:00:00,37.9631147541,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 06:15:00,50.1147540984,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 06:30:00,81.3935742972,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 06:45:00,120.085020243,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 07:00:00,198.069387755,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 07:15:00,254.24796748,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 07:30:00,278.955284553,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 07:45:00,254.803846154,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 08:00:00,299.67953668,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 08:15:00,369.737451737,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 08:30:00,404.61003861,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 08:45:00,343.619230769,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 09:00:00,338.799227799,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 09:15:00,355.154440154,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 09:30:00,338.162162162,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 09:45:00,292.907335907,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 10:00:00,265.803846154,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 10:15:00,253.657692308,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 10:30:00,244.262548263,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 10:45:00,235.127413127,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 11:00:00,226.492307692,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 11:15:00,233.32046332,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 11:30:00,235.33976834,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 11:45:00,228.592307692,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 12:00:00,244.892307692,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 12:15:00,256.838461538,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 12:30:00,252.355212355,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 12:45:00,253.442307692,-58.4364285288,-34.6182799671
LINEA_A,ACOYTE,2017-05-23 13:00:00,259.162162162,-58.4364285288,-34.6182799671
