LINEA,ESTACION,DESDE,TOTAL
LINEA_A,ACOYTE,05:00:00,9.39430894309
LINEA_A,ACOYTE,05:15:00,14.7131147541
LINEA_A,ACOYTE,05:30:00,17.8196721311
LINEA_A,ACOYTE,05:45:00,20.1836734694
LINEA_A,ACOYTE,06:00:00,37.9631147541
LINEA_A,ACOYTE,06:15:00,50.1147540984
LINEA_A,ACOYTE,06:30:00,81.3935742972
LINEA_A,ACOYTE,06:45:00,120.085020243
LINEA_A,ACOYTE,07:00:00,198.069387755
LINEA_A,ACOYTE,07:15:00,254.24796748
LINEA_A,ACOYTE,07:30:00,278.955284553
LINEA_A,ACOYTE,07:45:00,254.803846154
LINEA_A,ACOYTE,08:00:00,299.67953668
LINEA_A,ACOYTE,08:15:00,369.737451737
LINEA_A,ACOYTE,08:30:00,404.61003861
LINEA_A,ACOYTE,08:45:00,343.619230769
LINEA_A,ACOYTE,09:00:00,338.799227799
LINEA_A,ACOYTE,09:15:00,355.154440154
LINEA_A,ACOYTE,09:30:00,338.162162162
LINEA_A,ACOYTE,09:45:00,292.907335907
LINEA_A,ACOYTE,10:00:00,265.803846154
LINEA_A,ACOYTE,10:15:00,253.657692308
LINEA_A,ACOYTE,10:30:00,244.262548263
LINEA_A,ACOYTE,10:45:00,235.127413127
LINEA_A,ACOYTE,11:00:00,226.492307692
LINEA_A,ACOYTE,11:15:00,233.32046332
LINEA_A,ACOYTE,11:30:00,235.33976834
LINEA_A,ACOYTE,11:45:00,228.592307692
LINEA_A,ACOYTE,12:00:00,244.892307692
LINEA_A,ACOYTE,12:15:00,256.838461538
LINEA_A,ACOYTE,12:30:00,252.355212355
LINEA_A,ACOYTE,12:45:00,253.442307692
LINEA_A,ACOYTE,13:00:00,259.162162162
LINEA_A,ACOYTE,13:15:00,252.930769231
LINEA_A,ACOYTE,13:30:00,239.503846154
LINEA_A,ACOYTE,13:45:00,207.303846154
LINEA_A,ACOYTE,14:00:00,229.338461538
LINEA_A,ACOYTE,14:15:00,221.384615385
LINEA_A,ACOYTE,14:30:00,201.757692308
LINEA_A,ACOYTE,14:45:00,183.503846154
LINEA_A,ACOYTE,15:00:00,190.046153846
LINEA_A,ACOYTE,15:15:00,194.096153846
LINEA_A,ACOYTE,15:30:00,186.826923077
LINEA_A,ACOYTE,15:45:00,179.773076923
LINEA_A,ACOYTE,16:00:00,196.430769231
LINEA_A,ACOYTE,16:15:00,200.496153846
LINEA_A,ACOYTE,16:30:00,201.788461538
LINEA_A,ACOYTE,16:45:00,194.361538462
LINEA_A,ACOYTE,17:00:00,227.403846154
LINEA_A,ACOYTE,17:15:00,225.696153846
LINEA_A,ACOYTE,17:30:00,219.1
LINEA_A,ACOYTE,17:45:00,216.007692308
LINEA_A,ACOYTE,18:00:00,232.338461538
LINEA_A,ACOYTE,18:15:00,229.161538462
LINEA_A,ACOYTE,18:30:00,202.629343629
LINEA_A,ACOYTE,18:45:00,172.965250965
LINEA_A,ACOYTE,19:00:00,185.849420849
LINEA_A,ACOYTE,19:15:00,164.328185328
LINEA_A,ACOYTE,19:30:00,146.791505792
LINEA_A,ACOYTE,19:45:00,136.239382239
LINEA_A,ACOYTE,20:00:00,165.637065637
LINEA_A,ACOYTE,20:15:00,141.274131274
LINEA_A,ACOYTE,20:30:00,121.030888031
LINEA_A,ACOYTE,20:45:00,98.5153846154
LINEA_A,ACOYTE,21:00:00,101.561538462
LINEA_A,ACOYTE,21:15:00,74.9538461538
LINEA_A,ACOYTE,21:30:00,63.3436293436
LINEA_A,ACOYTE,21:45:00,54.2038461538
LINEA_A,ACOYTE,22:00:00,52.7423076923
LINEA_A,ACOYTE,22:15:00,35.9147286822
LINEA_A,ACOYTE,22:30:00,11.9338521401
LINEA_A,ACOYTE,22:45:00,2.4898989899
LINEA_A,ACOYTE,23:00:00,1.42857142857
LINEA_A,ALBERTI,05:00:00,2.13302752294
LINEA_A,ALBERTI,05:15:00,2.52153110048
LINEA_A,ALBERTI,05:30:00,3.39565217391
LINEA_A,ALBERTI,05:45:00,4.85892116183
LINEA_A,ALBERTI,06:00:00,6.18518518519
LINEA_A,ALBERTI,06:15:00,9.01646090535
LINEA_A,ALBERTI,06:30:00,14.0288065844
LINEA_A,ALBERTI,06:45:00,14.6131687243
LINEA_A,ALBERTI,07:00:00,28.9102040816
LINEA_A,ALBERTI,07:15:00,34.6032388664
LINEA_A,ALBERTI,07:30:00,42.4959349593
LINEA_A,ALBERTI,07:45:00,41.2834645669
LINEA_A,ALBERTI,08:00:00,36.2239382239
LINEA_A,ALBERTI,08:15:00,42.3410852713
LINEA_A,ALBERTI,08:30:00,48.8494208494
LINEA_A,ALBERTI,08:45:00,42.9150579151
LINEA_A,ALBERTI,09:00:00,39.1937984496
LINEA_A,ALBERTI,09:15:00,38.7567567568
LINEA_A,ALBERTI,09:30:00,45.1782945736
LINEA_A,ALBERTI,09:45:00,47.1923076923
LINEA_A,ALBERTI,10:00:00,48.0579150579
LINEA_A,ALBERTI,10:15:00,53.7248062016
LINEA_A,ALBERTI,10:30:00,53.7683397683
LINEA_A,ALBERTI,10:45:00,56.9728682171
LINEA_A,ALBERTI,11:00:00,63.8333333333
